AGE_GROUP,rows,default_rate,mean_risk_score,roc_auc,pr_auc,predicted_default_rate,recall_tpr,false_positive_rate,precision_ppv
30-39,16369,0.0949355489034149,0.0948592252463614,0.7976901736604739,0.3090978863984527,0.1742317795833587,0.5296010296010296,0.1369557880526493,0.2885694249649368
40-49,15335,0.078252363873492,0.0747100012333798,0.7929415752859332,0.2941212741374625,0.1147049233778937,0.4258333333333333,0.088291475061903,0.2905059693007391
50-59,13544,0.0613555818074424,0.0601521757009602,0.787594740613922,0.2717352913178634,0.0717660956881275,0.345367027677497,0.0538818532211122,0.2952674897119342
Under 30,9225,0.1123035230352303,0.115663295918252,0.767777049069026,0.3140534816644192,0.2353387533875338,0.555984555984556,0.1947734766149713,0.2653155228005527
60-69,7030,0.0489331436699857,0.0453316152274195,0.747140849675476,0.1689708392803853,0.0335704125177809,0.1715116279069767,0.0264732276398444,0.25
